zipcode_link,zip4,PROVINCIE,URB2,INKOMEN,SOCKL_A,SOCKL_B1,SOCKL_B2,SOCKL_C,SOCKL_D,OPL_HOOG,OPL_MID,OPL_LAAG,TWEEVERD2,K_WON_EIG2,WOZ_WON,K_HPR_WON,LEVENSFAS2,K_ALLEEN2,K_PAAR_MK2,K_PAAR_ZK2,K_JALLEEN2,K_MALLEEN2,K_OALLEEN2,K_PAARAJK2,K_PAARAOK2,K_JPAARZK2,K_MPAARZK2,K_OPAARZK2,K_G_GEZGRT,LENEN2,SPAREN2,KOOPINTERN,K_AUTOBEZ2
25197,1013,Noord-Holland,1,4,2,4,2,1,1,2,4,2,2,3,10,2,2,5,3,3,2,4,4,3,1,2,2,1,3,4,3,5,1
23808,1013,Noord-Holland,1,3,2,2,4,1,1,2,4,2,3,2,10,9,3,4,4,3,2,2,4,3,3,2,2,3,4,4,6,4,2
10018,1013,Noord-Holland,1,2,4,3,2,1,1,5,2,1,3,2,9,NA,1,5,4,2,4,3,1,4,3,2,2,1,4,4,6,6,1
18510,1013,Noord-Holland,1,3,3,3,2,1,2,4,3,2,2,2,10,NA,2,5,2,3,4,4,2,2,2,2,2,2,2,3,5,6,1
22052,1014,Noord-Holland,1,3,5,2,1,1,1,5,1,1,2,1,11,NA,7,4,3,5,3,3,1,3,2,4,2,2,3,3,6,6,1
10089,1015,Noord-Holland,1,2,5,2,1,1,1,5,2,1,3,3,10,NA,2,5,3,3,2,4,2,3,2,1,3,2,2,4,6,6,2
23977,1015,Noord-Holland,1,1,5,2,2,1,1,5,1,1,4,4,15,4,1,4,4,3,3,3,2,3,3,1,1,3,4,4,6,6,3
18109,1015,Noord-Holland,1,3,2,1,3,2,1,3,4,1,2,2,10,1,2,5,2,3,2,4,3,2,2,2,2,2,2,2,6,5,2
25035,1015,Noord-Holland,1,2,3,3,2,1,2,5,2,2,2,2,10,5,2,5,2,3,2,4,3,2,1,2,2,2,2,2,6,6,1
10353,1015,Noord-Holland,1,6,4,2,3,1,1,4,3,1,2,2,10,NA,3,5,3,2,1,3,4,3,2,1,2,2,3,3,6,5,1
25531,1015,Noord-Holland,1,4,1,1,2,2,5,1,5,1,1,1,9,4,1,5,2,3,4,1,2,1,2,3,1,2,2,4,6,5,1
24391,1015,Noord-Holland,1,2,2,4,2,2,1,4,3,2,2,2,10,7,2,5,3,2,1,4,3,3,2,1,1,2,2,3,6,6,1
17040,1015,Noord-Holland,1,1,5,1,1,1,1,5,1,1,3,2,10,NA,1,5,3,3,4,3,2,3,1,1,3,2,2,4,6,6,2
23004,1015,Noord-Holland,1,2,4,2,3,2,2,4,3,2,2,2,10,2,2,5,3,3,1,4,3,3,2,1,3,2,3,3,6,6,1
25227,1015,Noord-Holland,1,3,2,2,3,3,2,3,5,1,2,2,10,6,1,5,3,2,4,3,3,2,2,1,2,1,2,3,6,6,1
17961,1016,Noord-Holland,1,1,5,2,2,1,1,5,2,1,3,2,15,NA,4,4,5,3,1,2,3,4,4,1,1,3,5,4,5,6,3
15553,1016,Noord-Holland,1,1,5,2,1,1,1,5,1,1,3,2,11,5,1,5,3,3,4,3,1,3,3,3,2,2,3,3,6,6,1
21208,1016,Noord-Holland,1,1,5,1,1,1,1,5,1,1,3,2,10,8,2,5,3,3,2,4,2,2,2,1,3,2,3,3,6,6,2
24561,1016,Noord-Holland,1,2,2,4,2,2,1,5,2,1,2,2,9,NA,1,5,3,3,4,3,1,3,1,1,2,2,2,5,6,6,1
11911,1016,Noord-Holland,1,2,4,3,2,1,1,5,2,1,4,2,11,NA,1,5,4,3,4,3,3,3,2,1,3,1,3,4,5,6,2
19142,1016,Noord-Holland,1,2,3,4,1,1,2,3,4,1,1,1,11,9,3,4,4,4,3,1,4,3,2,3,1,2,4,4,6,5,1
14131,1016,Noord-Holland,1,1,5,1,1,1,1,5,1,1,2,2,10,NA,1,5,3,3,4,3,3,2,2,1,3,2,2,4,6,6,2
25298,1017,Noord-Holland,1,1,5,1,2,1,1,5,1,1,2,2,10,NA,1,5,3,3,3,3,3,3,1,2,2,2,2,4,6,6,1
10942,1017,Noord-Holland,1,1,5,1,1,1,1,5,1,1,2,2,15,NA,9,3,3,5,1,3,1,3,1,1,3,4,3,5,5,6,3
23544,1017,Noord-Holland,1,2,4,3,1,1,1,5,2,1,3,2,9,NA,1,4,4,4,4,2,1,3,2,2,2,2,4,4,6,6,2
12588,1018,Noord-Holland,1,1,5,1,1,1,1,5,1,1,5,4,12,NA,4,4,4,4,2,3,2,4,3,2,2,3,4,4,6,6,4
22507,1018,Noord-Holland,1,1,5,1,1,1,1,5,1,1,3,4,11,NA,3,4,4,3,3,2,3,3,3,1,1,3,3,3,6,6,3
14238,1018,Noord-Holland,1,1,5,1,1,1,1,5,2,1,2,2,11,10,9,4,3,4,3,2,3,3,2,3,2,4,3,3,4,6,2
11218,1018,Noord-Holland,1,2,5,2,1,1,1,5,2,1,2,2,10,9,1,5,3,4,4,2,2,3,2,3,2,2,3,4,6,6,1
22710,1018,Noord-Holland,1,4,2,3,3,2,1,4,3,2,2,2,10,11,2,5,3,2,4,4,2,3,2,1,1,2,3,3,5,6,1
10075,1018,Noord-Holland,1,6,4,3,2,1,1,5,2,1,2,2,11,NA,2,5,3,3,2,4,3,2,2,2,2,2,2,3,4,6,1
16515,1018,Noord-Holland,1,4,1,1,5,2,1,1,5,2,1,2,9,NA,1,5,3,2,4,2,3,2,2,1,2,2,2,4,4,3,1
24056,1018,Noord-Holland,1,2,2,5,1,1,1,2,5,1,3,2,11,NA,7,3,3,5,2,2,2,3,2,4,1,1,4,5,6,6,4
21613,1018,Noord-Holland,1,3,2,3,4,1,1,2,5,1,2,1,10,7,2,5,3,3,2,4,3,2,2,1,2,3,3,3,5,6,1
10512,1018,Noord-Holland,1,2,3,3,2,2,1,4,3,1,2,2,3,6,3,4,3,4,3,2,3,3,2,3,2,2,3,4,4,6,2
22930,1018,Noord-Holland,1,6,4,3,2,1,1,5,2,1,2,2,9,NA,2,5,3,3,2,4,3,2,3,2,2,2,2,3,6,6,1
11060,1018,Noord-Holland,1,2,3,3,2,2,1,5,2,1,3,2,7,4,1,5,4,3,4,3,2,3,3,3,2,2,3,4,6,6,1
13379,1019,Noord-Holland,1,1,3,4,1,1,1,3,4,1,4,2,13,NA,6,4,5,3,1,4,1,2,4,1,3,2,5,5,6,6,3
14073,1019,Noord-Holland,1,1,5,2,1,1,1,5,1,1,6,4,11,NA,4,3,5,3,2,3,1,4,4,2,3,1,5,5,6,6,3
19605,1019,Noord-Holland,1,1,5,1,1,1,1,5,1,1,3,1,12,NA,1,4,3,4,4,3,1,3,2,3,3,2,3,4,6,6,1
12272,1019,Noord-Holland,1,1,5,2,1,1,1,5,1,1,3,2,11,11,7,4,4,4,3,2,2,3,3,3,3,3,4,4,6,6,2
16927,1019,Noord-Holland,1,3,1,3,4,1,1,1,5,1,2,1,9,10,2,5,4,2,1,4,3,4,2,1,2,2,4,3,5,5,1
11562,1019,Noord-Holland,1,1,5,2,1,1,1,5,1,1,4,4,11,NA,9,4,3,4,1,4,3,2,3,2,2,4,3,3,6,6,4
24077,1019,Noord-Holland,1,3,2,2,5,1,1,2,5,2,2,1,10,NA,3,5,3,2,1,3,4,3,3,1,1,2,2,2,6,4,1
14877,1019,Noord-Holland,1,1,5,2,1,1,1,5,2,1,1,1,11,11,9,4,3,4,1,3,4,3,2,1,3,4,3,2,6,4,2
20605,1019,Noord-Holland,1,1,5,1,2,1,1,5,1,1,3,4,11,10,4,4,4,3,2,3,3,4,3,1,2,3,4,3,5,6,3
18601,1019,Noord-Holland,1,4,1,3,4,1,1,2,5,2,1,1,11,NA,3,5,3,3,1,3,4,2,3,1,1,3,3,2,3,3,1
24385,1019,Noord-Holland,1,3,2,4,3,1,2,2,4,2,2,1,12,8,3,5,3,3,1,3,4,2,3,1,2,3,3,3,3,3,2
10720,1019,Noord-Holland,1,6,3,3,2,1,1,4,3,1,3,1,11,1,2,4,4,4,3,3,2,3,3,2,2,3,4,3,6,6,1
12459,1019,Noord-Holland,1,3,1,1,4,3,1,1,4,3,2,1,11,10,4,4,4,3,3,3,2,4,3,2,2,2,4,2,4,5,1
11633,1021,Noord-Holland,1,3,1,1,3,4,2,1,5,2,2,1,7,7,1,5,4,3,4,3,2,3,3,2,2,1,3,4,5,6,1
23814,1021,Noord-Holland,1,4,1,2,4,3,2,1,3,4,3,1,9,6,2,4,4,3,1,4,2,3,3,1,1,3,3,5,4,3,2
15506,1021,Noord-Holland,1,3,2,4,3,1,1,2,4,1,5,3,6,10,4,4,4,3,2,3,3,4,2,3,1,1,3,5,5,6,4
22835,1021,Noord-Holland,1,2,5,2,1,1,1,5,2,1,3,2,9,11,2,5,3,4,2,4,2,3,2,2,2,3,3,4,5,6,5
14930,1021,Noord-Holland,1,4,1,2,3,3,3,2,1,5,2,1,7,NA,2,4,4,2,1,4,2,4,3,1,2,1,4,3,2,2,1
24091,1022,Noord-Holland,1,3,4,3,1,1,1,4,3,1,5,3,9,NA,4,4,4,4,3,3,1,4,3,2,1,3,4,4,6,6,4
10822,1022,Noord-Holland,1,NA,5,2,1,1,1,5,2,1,6,2,9,NA,4,3,4,4,3,2,1,4,3,3,2,2,4,5,6,6,4
23606,1022,Noord-Holland,1,NA,5,2,1,1,1,5,2,1,5,2,9,NA,4,4,4,4,4,2,2,4,3,3,2,2,4,5,6,6,3
14268,1022,Noord-Holland,1,NA,5,2,1,1,1,5,1,1,5,1,9,NA,7,4,3,4,3,3,1,3,2,4,2,3,3,5,6,6,3
18018,1022,Noord-Holland,1,2,3,3,3,2,1,4,3,1,4,4,7,9,1,4,4,3,4,2,2,3,3,3,1,2,3,4,5,6,2
17285,1023,Noord-Holland,1,3,1,1,2,3,4,2,1,5,1,1,8,NA,3,5,4,1,1,1,4,1,4,1,1,1,4,2,2,2,2
13471,1023,Noord-Holland,1,2,4,2,2,1,1,4,3,1,6,5,13,NA,6,2,5,4,1,1,2,4,4,1,2,3,6,4,6,6,5
17292,1023,Noord-Holland,1,3,1,2,3,3,2,2,4,2,3,1,7,9,2,5,4,2,3,4,3,3,3,1,2,1,3,3,4,4,2
23681,1023,Noord-Holland,1,2,1,1,5,1,1,1,4,3,3,2,8,NA,3,5,3,3,1,3,4,3,1,1,3,1,3,4,3,4,5
22937,1023,Noord-Holland,1,3,2,3,4,2,1,2,4,2,4,2,9,6,3,5,4,3,1,2,4,3,2,1,2,2,3,3,5,4,4
20994,1023,Noord-Holland,1,2,2,3,3,2,2,3,3,2,2,2,8,9,3,4,3,4,1,3,3,3,2,3,3,2,3,4,3,6,2
18015,1024,Noord-Holland,1,2,3,3,2,2,1,3,4,1,2,4,8,11,3,4,2,4,1,1,4,1,2,1,1,4,2,3,5,2,5
14388,1024,Noord-Holland,1,2,4,3,2,1,1,4,3,2,3,4,9,11,9,4,3,4,1,3,3,3,3,1,3,4,3,2,6,4,5
11624,1024,Noord-Holland,1,5,1,1,2,5,1,2,5,1,1,1,NA,11,NA,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5
19141,1024,Noord-Holland,1,4,2,3,3,2,1,2,4,2,4,2,8,8,4,4,4,4,3,3,2,3,2,3,2,3,3,4,6,6,3
22004,1024,Noord-Holland,1,NA,2,5,1,1,1,5,2,1,2,1,NA,NA,1,5,2,2,4,2,2,2,1,2,1,1,2,6,6,6,1
21296,1024,Noord-Holland,1,5,1,1,2,5,2,1,1,5,2,1,6,8,2,4,4,3,1,4,2,3,3,3,1,1,3,6,2,2,1
18365,1024,Noord-Holland,1,4,1,2,3,2,3,2,4,2,3,4,6,8,2,5,3,3,3,4,3,3,1,3,2,1,2,4,4,5,2
22951,1024,Noord-Holland,1,2,3,3,2,1,1,4,3,1,3,4,9,NA,1,5,3,4,4,3,3,2,2,2,2,3,2,4,6,6,3
10245,1024,Noord-Holland,1,2,2,3,3,1,1,3,4,1,3,4,9,NA,2,5,3,4,2,4,3,2,3,2,2,3,3,4,3,5,5
11288,1024,Noord-Holland,1,4,1,1,4,3,2,1,4,3,4,3,6,9,3,4,4,4,1,2,3,3,3,2,3,3,3,4,3,5,3
17981,1024,Noord-Holland,1,4,1,1,2,4,2,1,1,5,1,1,7,9,4,3,5,1,1,3,3,4,4,1,1,1,5,5,3,2,1
11443,1024,Noord-Holland,1,3,4,3,2,1,1,4,3,1,5,3,9,5,4,4,5,3,3,2,2,4,3,2,2,3,5,5,6,6,4
15128,1025,Noord-Holland,1,4,1,2,3,3,3,2,3,4,1,2,8,7,3,5,2,4,1,3,4,2,2,1,2,3,3,3,3,2,3
14402,1025,Noord-Holland,1,5,1,2,3,3,3,1,2,5,2,2,8,4,3,5,2,4,1,1,4,1,2,2,1,3,3,1,2,1,2
20874,1025,Noord-Holland,1,3,2,3,2,2,2,3,4,1,3,3,9,NA,2,5,3,3,4,4,2,3,2,1,3,2,3,3,6,6,2
24524,1025,Noord-Holland,1,2,4,2,2,1,1,4,3,1,4,4,8,NA,2,4,3,4,2,4,2,3,2,2,3,3,3,4,5,6,4
25460,1025,Noord-Holland,1,4,1,1,2,3,3,1,2,5,2,1,8,10,3,5,4,2,1,2,4,2,3,1,1,2,3,2,2,3,2
11326,1025,Noord-Holland,1,3,1,3,2,3,2,2,3,4,5,2,8,11,7,4,3,4,1,2,3,2,3,3,3,3,3,4,4,5,3
10304,1025,Noord-Holland,1,3,1,3,3,2,1,1,3,4,5,3,8,NA,6,3,4,4,1,2,3,2,4,1,3,3,4,4,3,5,4
15199,1025,Noord-Holland,1,2,3,4,2,1,1,5,2,1,3,1,8,11,1,5,3,4,4,4,2,2,2,2,2,3,2,3,5,6,2
15889,1025,Noord-Holland,1,4,1,2,3,2,2,2,3,4,2,2,8,8,3,4,3,4,1,3,4,3,2,2,2,3,3,4,3,3,3
22739,1025,Noord-Holland,1,2,5,2,1,2,1,5,2,1,4,4,10,NA,9,4,4,4,2,1,3,2,3,1,1,4,4,3,6,5,5
11133,1026,Noord-Holland,1,1,3,3,2,1,1,3,4,1,5,4,12,NA,9,2,5,4,1,1,2,4,4,1,1,4,5,3,6,5,5
20740,1027,Noord-Holland,1,3,2,4,2,2,2,2,5,2,4,2,11,NA,4,2,4,4,1,1,2,4,2,3,1,3,4,4,3,4,3
20901,1031,Noord-Holland,1,4,1,1,2,5,2,2,3,4,2,1,6,6,7,4,4,3,3,3,2,3,2,3,1,1,3,3,4,3,1
17268,1031,Noord-Holland,1,4,1,1,2,5,1,2,3,4,2,1,6,2,4,4,4,2,2,4,2,4,2,1,1,2,3,3,2,3,1
21074,1031,Noord-Holland,1,3,1,2,3,3,1,3,4,1,3,1,8,2,1,5,3,2,4,3,2,3,2,2,1,2,2,5,6,6,1
20246,1031,Noord-Holland,1,4,1,1,2,4,3,1,3,4,1,1,6,5,3,5,4,2,3,2,4,3,2,2,2,1,3,3,3,3,1
22500,1031,Noord-Holland,1,NA,4,3,1,1,1,4,3,1,6,2,11,NA,7,2,4,5,2,2,1,3,2,4,1,1,3,6,6,6,5
22405,1032,Noord-Holland,1,3,2,3,3,3,2,2,4,3,5,4,7,11,4,4,4,4,2,2,3,3,2,1,3,3,3,5,3,6,4
12413,1032,Noord-Holland,1,5,1,2,3,3,2,1,3,4,3,2,6,6,3,5,3,3,1,3,4,3,1,2,1,3,3,4,3,4,3
21325,1032,Noord-Holland,1,NA,4,3,1,1,1,5,2,1,6,2,11,NA,4,3,5,3,2,2,1,4,3,2,2,1,5,6,6,6,5
12031,1032,Noord-Holland,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15380,1032,Noord-Holland,1,4,1,1,3,3,3,1,4,3,3,2,7,3,4,5,4,3,3,3,3,4,1,3,1,2,3,3,4,3,1
22931,1033,Noord-Holland,1,4,1,1,3,1,4,1,2,5,2,2,8,7,3,5,3,1,1,1,4,2,2,1,1,1,3,2,2,2,3
25067,1033,Noord-Holland,1,2,4,3,2,1,1,4,3,1,6,4,8,9,4,2,4,4,1,2,1,4,3,1,3,3,5,4,5,6,5
22275,1033,Noord-Holland,1,3,2,4,3,2,1,2,4,2,4,2,10,11,3,4,4,4,3,3,3,3,3,2,3,3,4,3,4,5,4
10777,1033,Noord-Holland,1,3,2,3,3,2,1,2,4,3,3,3,10,NA,3,4,3,4,2,2,4,2,2,1,3,4,3,3,4,4,4
21621,1033,Noord-Holland,1,4,1,1,2,3,3,1,2,5,2,1,7,9,3,4,4,4,1,3,4,3,3,1,3,2,3,2,3,2,2
20983,1033,Noord-Holland,1,3,1,2,4,3,1,1,4,3,3,4,8,NA,2,4,4,3,1,3,3,3,3,1,2,3,4,4,5,4,4
24666,1033,Noord-Holland,1,4,1,2,3,2,3,1,2,5,2,2,7,9,3,4,4,4,1,3,3,3,3,3,2,3,4,4,2,2,3
11775,1033,Noord-Holland,1,3,2,2,3,3,2,2,4,2,3,2,7,8,2,5,3,4,1,4,2,3,2,2,3,1,3,4,3,5,1
13241,1033,Noord-Holland,1,4,1,2,3,3,2,2,4,3,3,2,8,9,3,4,4,4,1,3,3,3,3,3,1,2,3,4,3,3,2
23523,1033,Noord-Holland,1,NA,1,2,5,1,1,5,1,1,1,1,4,NA,1,5,2,2,4,1,1,2,1,2,1,1,2,2,6,6,1
16005,1033,Noord-Holland,1,2,2,4,2,1,1,2,4,1,4,4,8,NA,2,4,3,4,1,4,2,3,2,2,3,3,3,3,6,6,5
14853,1033,Noord-Holland,1,1,4,2,1,1,1,4,3,1,4,4,9,NA,9,2,4,4,1,1,2,3,3,1,1,4,5,4,5,5,5
13910,1034,Noord-Holland,1,NA,2,3,3,1,1,2,5,1,2,2,9,NA,3,5,2,4,1,2,4,2,2,1,1,4,3,1,2,3,5
22471,1034,Noord-Holland,1,4,1,1,2,4,2,1,4,3,3,2,5,NA,1,5,3,3,4,1,4,3,2,2,2,2,2,2,4,4,1
15472,1034,Noord-Holland,1,4,1,3,3,3,2,3,4,2,4,3,5,NA,2,4,4,4,1,4,3,3,2,4,1,1,3,4,4,5,1
21292,1034,Noord-Holland,1,5,1,1,3,3,3,1,2,5,1,1,7,9,4,2,5,2,1,1,2,4,4,2,2,1,6,3,2,3,1
11091,1034,Noord-Holland,1,4,1,1,3,3,3,1,2,5,2,1,7,9,2,5,4,2,1,4,3,3,3,1,1,2,4,4,3,2,2
20838,1034,Noord-Holland,1,4,1,1,2,3,3,1,4,2,2,1,8,11,2,5,4,1,2,4,3,3,3,1,1,1,3,3,4,2,1
17055,1034,Noord-Holland,1,4,1,1,3,3,2,1,2,5,2,1,8,9,4,4,5,2,1,3,3,4,3,1,1,2,5,4,3,2,1
20721,1034,Noord-Holland,1,3,1,1,4,3,2,1,4,3,3,2,8,7,3,4,3,4,2,3,4,1,3,2,2,3,3,4,3,3,4
23476,1034,Noord-Holland,1,3,1,4,3,2,1,2,5,2,3,1,9,10,3,4,4,3,1,1,4,4,2,1,1,3,4,4,3,5,3
19088,1034,Noord-Holland,1,2,5,2,2,1,1,5,2,1,5,4,9,11,4,4,4,4,2,4,1,4,1,2,3,3,3,4,6,6,5
11482,1034,Noord-Holland,1,2,2,3,3,1,2,2,4,2,3,2,6,NA,3,4,4,4,1,2,4,3,3,2,3,3,4,4,3,4,5
10600,1035,Noord-Holland,1,3,1,2,3,3,2,1,3,4,3,2,6,6,4,4,4,4,3,2,3,4,2,2,2,3,4,4,3,3,2
23385,1035,Noord-Holland,1,6,4,2,2,2,1,4,3,1,6,4,9,NA,8,3,4,4,1,3,2,3,4,1,4,2,5,3,6,6,5
12764,1035,Noord-Holland,1,3,1,3,4,2,1,1,3,4,3,1,9,10,9,3,4,4,1,1,3,3,4,1,1,4,4,4,3,4,4
16672,1035,Noord-Holland,1,2,2,4,3,2,1,2,4,2,4,1,9,9,6,4,4,3,2,3,3,2,4,1,3,3,4,4,4,6,4
23279,1035,Noord-Holland,1,2,4,3,3,1,1,4,3,2,6,4,9,NA,4,2,4,4,1,1,2,4,3,2,3,2,5,4,4,6,5
18872,1035,Noord-Holland,1,1,5,1,1,1,1,5,1,1,6,5,11,NA,6,1,5,4,1,1,1,3,4,1,2,4,6,3,6,6,5
11202,1035,Noord-Holland,1,1,4,3,1,1,2,4,3,2,5,4,12,NA,4,2,4,5,1,1,2,4,2,1,4,4,4,2,5,6,5
24223,1035,Noord-Holland,1,3,2,4,2,1,1,2,4,2,5,2,12,NA,6,3,4,4,1,1,3,3,3,2,3,3,5,4,4,6,5
20555,1035,Noord-Holland,1,1,5,2,2,1,1,5,1,2,5,4,11,NA,4,4,4,3,3,2,3,3,3,2,2,3,4,4,6,6,4
24277,1035,Noord-Holland,1,2,3,3,2,2,2,3,4,2,3,4,10,NA,9,3,4,4,1,1,3,2,4,1,1,4,4,2,5,4,5
18050,1035,Noord-Holland,1,3,3,4,2,1,1,3,4,2,5,4,10,9,9,3,4,4,1,2,3,3,3,2,3,3,4,3,5,6,5
23765,1036,Noord-Holland,1,NA,5,2,1,1,1,5,2,1,6,4,11,NA,4,2,5,3,2,1,1,4,3,3,1,1,5,4,6,6,5
15791,1036,Noord-Holland,1,NA,5,2,1,1,1,5,2,1,4,4,11,NA,1,5,4,3,4,2,2,4,2,3,2,2,3,6,6,6,3
19554,1036,Noord-Holland,1,NA,5,1,1,1,1,5,1,1,6,4,11,NA,4,2,5,3,2,1,1,4,3,3,2,1,6,6,6,6,5
16398,1051,Noord-Holland,1,3,3,2,3,2,1,3,4,1,3,2,10,NA,3,5,4,2,1,3,4,3,3,1,1,2,3,4,4,5,3
10876,1051,Noord-Holland,1,3,1,2,5,1,1,1,5,1,2,1,10,8,2,5,3,2,2,4,3,2,2,1,1,2,2,3,6,4,1
13542,1051,Noord-Holland,1,3,2,2,5,2,2,2,5,2,2,2,9,2,2,5,3,2,2,4,2,2,2,1,1,2,2,3,6,6,1
13318,1051,Noord-Holland,1,1,5,1,1,1,1,5,1,1,5,1,9,5,2,4,3,4,3,3,2,3,2,3,2,2,3,4,6,6,2
16527,1051,Noord-Holland,1,3,2,3,3,2,1,3,4,1,2,2,10,5,2,5,4,3,3,4,3,3,2,2,2,3,3,4,3,6,2
15811,1051,Noord-Holland,1,4,1,4,3,2,1,1,4,3,2,1,11,7,7,4,3,4,3,3,3,2,3,3,1,2,3,2,5,6,1
20655,1051,Noord-Holland,1,2,4,3,1,1,1,5,1,1,4,4,9,NA,4,4,4,4,3,3,2,4,1,3,2,2,3,4,6,6,3
17712,1052,Noord-Holland,1,3,3,2,3,2,1,3,3,1,3,2,7,6,1,5,3,3,4,3,2,2,3,3,2,1,3,3,5,6,1
13651,1052,Noord-Holland,1,3,1,2,4,2,1,2,5,1,2,2,9,NA,2,5,3,3,2,4,2,3,2,2,2,2,2,4,5,5,1
20308,1052,Noord-Holland,1,1,5,1,1,1,1,5,1,1,4,2,10,10,1,4,4,3,3,2,3,3,3,1,2,3,4,4,6,6,3
22960,1052,Noord-Holland,1,1,5,1,1,1,1,5,1,1,4,4,11,NA,3,4,4,3,2,2,4,3,3,1,2,3,4,4,6,6,5
12018,1052,Noord-Holland,1,2,5,2,1,1,1,5,2,1,4,2,10,6,2,4,3,4,3,4,2,3,2,3,2,2,3,3,4,6,2
24266,1052,Noord-Holland,1,2,5,2,2,1,1,5,2,1,3,2,10,5,2,5,3,3,1,4,2,3,2,2,3,2,3,4,6,6,2
22910,1052,Noord-Holland,1,1,5,1,1,1,1,5,1,1,4,2,12,NA,2,4,4,4,2,4,2,3,2,3,2,2,3,4,6,6,3
22954,1052,Noord-Holland,1,4,1,2,4,3,1,1,3,4,1,1,11,5,3,5,2,3,1,2,4,1,2,1,2,3,2,1,2,2,2
10679,1052,Noord-Holland,1,2,4,3,2,1,1,5,2,1,3,1,9,7,1,5,3,3,4,3,2,3,2,1,2,2,3,4,6,6,1
23188,1052,Noord-Holland,1,3,2,3,3,1,1,2,4,1,3,2,10,NA,4,4,4,4,3,3,3,3,2,3,2,2,3,3,4,6,3
10987,1053,Noord-Holland,1,4,1,3,4,2,1,1,5,2,2,2,9,8,2,5,3,3,2,4,2,3,2,2,2,3,3,2,3,2,1
20039,1053,Noord-Holland,1,6,5,2,2,1,1,5,2,1,2,2,9,5,1,5,3,4,4,3,3,3,2,3,3,2,3,3,5,6,1
13351,1053,Noord-Holland,1,2,2,5,1,1,1,5,1,1,2,1,9,6,1,5,2,2,4,3,2,2,2,2,2,1,2,2,5,6,1
25393,1053,Noord-Holland,1,2,3,3,2,1,1,3,4,1,3,2,11,NA,3,5,3,1,1,2,4,2,3,1,1,1,3,4,5,5,1
19921,1053,Noord-Holland,1,2,3,3,2,2,1,3,4,1,3,2,11,7,3,5,3,3,1,2,4,3,2,1,2,3,3,4,5,4,2
