policy_number,claim_number,claim_date,notification_date,finish_date,description,country_code,country,amount_cas,amount_wa,cost_ca,cost_wa,amount_reclaimed,total
12122,10051,03-05-2019,16-05-2019,20-05-2019,RUITVERVANGING DOOR CARGLASS,NL,Nederland,400.39,NA,NA,NA,NA,400.39
12122,10052,24-04-2019,26-04-2019,14-06-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,685.7700000000001,NA,NA,NA,-634.3299999999999,51.44
12123,10053,07-06-2019,18-06-2019,24-06-2019,Ruitvervanging door Schadenet,NL,Nederland,382.83,NA,NA,NA,NA,382.83
12123,10054,22-09-2018,24-09-2018,17-12-2018,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,NA,4781.13,NA,NA,NA,4781.13
12128,10055,15-06-2019,03-07-2019,28-08-2019,REED ACHTERUIT TEGEN VAST OBJECT,NL,Nederland,NA,NA,NA,NA,NA,0
12136,10056,19-09-2019,25-09-2019,NA,REED ACHTERUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,NA,NA,NA,NA,NA,0
12138,10057,24-09-2018,11-10-2018,NA,ARTIKEL 185 WVW,NL,Nederland,NA,1249.9,NA,NA,NA,1249.9
12150,10058,04-06-2019,06-06-2019,04-07-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1590.79,NA,NA,NA,1590.79
12154,10059,27-04-2019,21-08-2019,NA,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12154,10060,11-11-2018,14-11-2018,30-08-2019,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,NA,154.63,NA,0.3,-154.93,-0
12154,10061,16-08-2018,20-08-2018,24-07-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,2805,6399.04,78.53,NA,NA,9282.57
12155,10062,06-05-2019,16-05-2019,20-05-2019,RUITREPARATIE DOOR CARGLASS,NL,Nederland,72.6,NA,NA,NA,NA,72.6
12158,10063,11-09-2018,26-09-2018,01-10-2018,RUITREPARATIE DOOR CARGLASS,NL,Nederland,69.58,NA,NA,NA,NA,69.58
25074,10064,19-10-2018,19-10-2018,09-11-2018,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12176,10065,25-05-2019,28-05-2019,11-06-2019,SLOEG LINKSAF,NL,Nederland,NA,2459.55,NA,35.83,NA,2495.38
12189,10066,14-11-2018,31-12-2018,24-01-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1004.1700000000001,NA,NA,NA,1004.17
12190,10067,08-12-2018,10-01-2019,23-09-2019,VERKEERD INHALEN LINKS,NL,Nederland,NA,539.05,NA,47.260000000000005,NA,586.31
12199,10068,10-01-2019,15-01-2019,13-05-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12202,10069,23-11-2018,10-12-2018,NA,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,2787.29,NA,124.66,NA,2911.95
12205,10070,06-04-2019,31-07-2019,12-08-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12205,10071,06-04-2019,09-08-2019,03-09-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12212,10072,18-04-2019,18-04-2019,26-06-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,934.1,NA,78.53,NA,-1046.26,-33.63
12213,10073,02-05-2019,31-05-2019,27-09-2019,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,1275.1299999999999,NA,75.97,NA,1351.1
12232,10074,01-05-2019,06-08-2019,NA,Ruitvervanging door AAS,NL,Nederland,NA,NA,NA,NA,NA,0
12237,10075,27-03-2019,08-04-2019,15-04-2019,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,481.87,NA,NA,NA,NA,481.87
12266,10076,05-09-2019,20-09-2019,23-09-2019,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,448.98999999999995,NA,NA,NA,NA,448.99
12306,10077,13-10-2019,14-10-2019,NA,WAARBORGFONDSCLAIM,NL,Nederland,NA,NA,NA,NA,NA,0
12347,10078,20-07-2019,22-07-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,78.53,NA,NA,78.53
12347,10079,17-07-2019,21-08-2019,21-08-2019,RUITREPARATIE DOOR CARGLASS,NL,Nederland,60,NA,NA,NA,NA,60
12407,10080,08-12-2017,12-12-2017,17-12-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12407,10081,25-09-2014,01-10-2014,09-10-2014,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,383.78999999999996,NA,1,NA,NA,384.79
12408,10082,03-03-2018,07-03-2018,04-04-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,425.28,NA,78.53,NA,NA,503.81
12410,10083,20-01-2014,20-01-2014,04-02-2014,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,NA,1112.11,NA,NA,NA,1112.11
25075,10084,20-07-2016,25-07-2016,06-09-2016,"SLIPTE, SLOEG OM OF RAAKTE VAN DE WEG OP RECHTE WEG",NL,Nederland,930.9,NA,NA,NA,NA,930.9
25076,10085,27-10-2014,27-10-2014,01-12-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,2044,5185.42,79.6,14.67,NA,7323.69
12411,10086,02-11-2016,03-11-2016,07-11-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,857.74,NA,NA,NA,NA,857.74
12411,10087,14-02-2015,20-02-2015,25-02-2015,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,494.38,NA,1,NA,NA,495.38
12412,10088,18-08-2015,19-08-2015,04-09-2015,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1109.1499999999999,NA,5,NA,NA,1114.15
25077,10089,13-06-2019,13-06-2019,NA,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,1375.8899999999999,32.67,83.64999999999999,NA,1492.21
12415,10090,04-02-2018,05-02-2018,12-02-2018,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,329.6,NA,NA,NA,NA,329.6
12415,10091,25-03-2016,25-03-2016,31-03-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,320.36,NA,NA,NA,NA,320.36
12417,10092,14-03-2019,15-03-2019,04-07-2019,STORM,NL,Nederland,NA,677.8499999999999,NA,NA,NA,677.85
12417,10093,14-02-2019,26-02-2019,04-03-2019,RUITREPARATIE DOOR CARGLASS,NL,Nederland,72.6,NA,NA,NA,NA,72.6
12417,10094,22-05-2018,22-05-2018,23-07-2018,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,540.49,NA,NA,NA,NA,540.49
12417,10095,31-07-2015,31-07-2015,14-10-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1034.5,NA,40.290000000000006,NA,-956.91,117.88
12417,10096,30-10-2014,11-11-2014,19-11-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,442.8,NA,21,NA,NA,463.8
12418,10097,16-02-2019,18-02-2019,09-04-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1044.8,NA,NA,NA,-966.43,78.37
12418,10098,22-08-2016,22-08-2016,11-10-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1530.02,NA,77.44000000000001,NA,-1165.26,442.2
12418,10099,11-09-2015,11-09-2015,19-11-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1913.75,NA,NA,NA,-1770.21,143.54
12418,10100,28-06-2014,05-08-2014,08-08-2014,HAGEL,NL,Nederland,416.24,NA,69.6,NA,NA,485.84
12419,10101,06-01-2017,10-01-2017,09-03-2017,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,NA,532.4599999999999,NA,79.24000000000001,NA,611.7
25078,10102,03-05-2014,05-05-2014,25-08-2014,BOTSING MET LOSLOPEND WILD,NL,Nederland,1530.81,NA,39.5,NA,NA,1570.31
25079,10103,17-05-2018,24-05-2018,25-10-2018,REED OP VERKEERSPLEIN,NL,Nederland,NA,6561.78,NA,NA,-1741.6,4820.18
25079,10104,23-01-2015,18-02-2015,16-03-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,908.6800000000001,NA,NA,NA,908.68
12422,10105,02-03-2019,05-03-2019,17-04-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1148.08,NA,NA,NA,1148.08
12423,10106,23-05-2019,31-05-2019,NA,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,17895,NA,78.53,NA,NA,17973.53
12423,10107,16-11-2018,21-11-2018,07-06-2019,BOTSING MET LOSLOPEND WILD,NL,Nederland,325.89,NA,NA,NA,-325.89,0
12423,10108,08-06-2018,14-06-2018,25-06-2018,REED TEGEN STILSTAAND VAST OBJECT,D,Duitsland,1735.94,NA,78.53,NA,NA,1814.47
12423,10109,20-06-2015,22-06-2015,20-10-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1842.76,NA,70.99000000000001,NA,-1842.2,71.55
12423,10110,26-05-2015,02-06-2015,23-06-2015,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,4197.8,NA,70.99000000000001,NA,NA,4268.79
12423,10111,07-02-2015,09-02-2015,02-04-2015,STOND GEPARKEERD,NL,Nederland,2228.9,NA,70.99000000000001,NA,-2228.9,70.99
12424,10112,28-08-2018,31-08-2018,04-10-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1201.21,NA,78.53,NA,-1312.71,-32.97
12424,10113,09-06-2017,27-07-2017,18-10-2017,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,NA,303.67,NA,NA,NA,303.67
12425,10114,11-11-2016,11-11-2016,28-12-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1658.61,NA,NA,NA,NA,1658.61
12425,10115,20-08-2015,21-08-2015,21-09-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12425,10116,16-08-2015,17-08-2015,07-12-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,4063.73,NA,80.99000000000001,NA,-4063.73,80.99
12427,10117,09-07-2019,10-07-2019,08-08-2019,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,265.54,NA,0.43000000000000005,NA,265.97
12428,10118,06-08-2019,07-08-2019,03-09-2019,STORM,NL,Nederland,3960.79,NA,78.53,NA,NA,4039.32
12428,10119,18-01-2018,18-01-2018,05-03-2018,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,5751.89,NA,78.53,NA,NA,5830.42
12428,10120,18-01-2016,10-02-2016,12-10-2016,STOND GEPARKEERD,NL,Nederland,885.97,NA,NA,NA,NA,885.97
12429,10121,30-08-2015,11-09-2015,20-10-2015,HAGEL,NL,Nederland,408.97999999999996,NA,64,NA,NA,472.98
12434,10122,28-09-2016,28-09-2016,10-02-2017,STOND GEPARKEERD,NL,Nederland,NA,NA,NA,NA,NA,0
12434,10123,30-05-2016,30-05-2016,03-08-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,62.04,NA,NA,NA,NA,62.04
12434,10124,18-02-2015,23-02-2015,27-02-2015,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
25080,10125,02-11-2017,29-11-2017,04-12-2017,RUITVERVANGING DOOR CARGLASS,NL,Nederland,278.25,NA,NA,NA,NA,278.25
25080,10126,09-09-2014,07-10-2014,10-10-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
25080,10127,09-09-2014,09-10-2014,03-12-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,459.4,NA,NA,NA,-490.68,-31.28
12437,10128,21-02-2018,12-03-2018,19-03-2018,RUITVERVANGING DOOR CARGLASS,NL,Nederland,649.2800000000001,NA,NA,NA,NA,649.28
12437,10129,15-12-2017,25-12-2017,02-01-2018,RUITVERVANGING DOOR CARGLASS,NL,Nederland,805.25,NA,NA,NA,NA,805.25
12437,10130,19-10-2017,02-11-2017,06-11-2017,RUITREPARATIE DOOR CARGLASS,NL,Nederland,69.58,NA,NA,NA,NA,69.58
12437,10131,21-02-2017,23-02-2018,24-09-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12438,10132,03-06-2017,19-06-2017,13-09-2017,STORM (CALAMITEIT),NL,Nederland,1411.48,NA,114.95,NA,NA,1526.43
12438,10133,21-03-2014,31-03-2014,06-05-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,159.9,NA,NA,NA,NA,159.9
12439,10134,23-08-2015,26-08-2015,02-09-2015,Ruitvervanging door Glasgarage,NL,Nederland,158.63,NA,1,NA,NA,159.63
12439,10135,19-12-2014,22-01-2015,22-01-2015,Ruitvervanging door Glasgarage,NL,Nederland,158.63,NA,NA,NA,NA,158.63
12439,10136,13-12-2014,22-12-2014,31-12-2014,Ruitreparatie door Glasgarage,NL,Nederland,54.449999999999996,NA,1,NA,NA,55.45
12439,10137,19-10-2014,20-10-2014,07-01-2015,STOND GEPARKEERD,NL,Nederland,2045.06,NA,69.6,NA,-2045.06,69.6
12440,10138,14-03-2019,15-03-2019,16-04-2019,REED VOORUIT TEGEN VAST OBJECT,NL,Nederland,1353.2,NA,NA,NA,NA,1353.2
12441,10139,07-05-2016,26-05-2016,30-05-2016,RUITVERVANGING DOOR CARGLASS,NL,Nederland,556.4,NA,NA,NA,NA,556.4
12441,10140,12-07-2015,13-07-2015,18-09-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1057.7,NA,40.290000000000006,NA,-1129.61,-31.62
12442,10141,04-03-2019,04-03-2019,26-08-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,78.53,NA,NA,78.53
12442,10142,04-03-2019,20-06-2019,NA,VERLEENDE GEEN VOORRANG,NL,Nederland,NA,NA,NA,NA,NA,0
12442,10143,02-06-2016,06-06-2016,22-07-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1256.27,NA,77.44000000000001,NA,-1365.8,-32.09
12443,10144,13-03-2018,14-03-2018,11-04-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2485.1,NA,78.53,NA,-2485.1,78.53
12443,10145,15-08-2016,15-08-2016,31-03-2017,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,4066.17,4749.45,77.44000000000001,77.44000000000001,NA,8970.5
25081,10146,18-10-2014,07-11-2014,12-11-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
12445,10147,16-02-2017,21-02-2017,15-03-2017,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,329.04,NA,NA,NA,329.04
12445,10148,10-07-2016,14-07-2016,02-09-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,301.27,NA,NA,NA,301.27
12446,10149,08-08-2015,10-08-2015,31-08-2015,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,608.2700000000001,755.5,5,NA,NA,1368.77
12447,10150,06-03-2018,08-03-2018,03-04-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,844.8399999999999,NA,NA,NA,NA,844.84
12447,10151,15-06-2015,24-06-2015,15-07-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,1543.1399999999999,NA,70.99000000000001,NA,NA,1614.13
12447,10152,09-06-2015,16-06-2015,24-06-2015,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
12448,10153,16-03-2015,16-03-2015,13-06-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,350.25,NA,80.99000000000001,NA,-462.86,-31.62
12449,10154,23-11-2015,01-12-2015,09-12-2015,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,975.7700000000001,NA,NA,NA,NA,975.77
12449,10155,10-06-2014,18-06-2014,25-06-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,509.82,NA,1,NA,NA,510.82
12451,10156,06-08-2019,07-08-2019,19-08-2019,Ruitvervanging door Schadenet,NL,Nederland,584.73,NA,NA,NA,NA,584.73
12451,10157,02-07-2015,06-07-2015,06-08-2015,HAGEL,NL,Nederland,1346.03,NA,70.99000000000001,NA,NA,1417.02
12451,10158,24-05-2014,03-06-2014,12-06-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,583.3599999999999,NA,1,NA,NA,584.36
12453,10159,27-02-2018,27-02-2018,04-04-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,4797.98,NA,NA,NA,NA,4797.98
12453,10160,17-01-2014,17-01-2014,02-04-2014,STOND GEPARKEERD,NL,Nederland,768.06,NA,69.6,NA,-470.45,367.21
12454,10161,22-01-2018,23-01-2018,14-02-2018,REED VOORUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,NA,867.3399999999999,NA,33.99,NA,901.33
12454,10162,31-03-2014,15-04-2014,23-04-2014,RUITBREUK,NL,Nederland,538.75,NA,NA,NA,NA,538.75
12455,10163,12-06-2019,13-06-2019,27-06-2019,STOND GEPARKEERD,NL,Nederland,665,NA,78.53,NA,NA,743.53
12455,10164,17-06-2016,27-06-2016,04-07-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,357.95,NA,NA,NA,NA,357.95
12455,10165,10-09-2015,11-09-2015,22-10-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,150,NA,10.51,NA,160.51
12455,10166,25-04-2015,01-05-2015,30-05-2015,STOND GEPARKEERD,NL,Nederland,1105.25,NA,40.290000000000006,NA,NA,1145.54
12457,10167,20-07-2015,11-01-2016,25-01-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,992.8,NA,NA,NA,NA,992.8
12457,10168,30-01-2015,11-02-2015,27-05-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1090.36,NA,40.290000000000006,NA,-1090.36,40.29
12458,10169,27-06-2016,28-06-2016,04-07-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,458.3,NA,NA,NA,NA,458.3
12460,10170,27-07-2017,28-07-2017,12-12-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,784.9399999999999,NA,77.44000000000001,NA,-1160.43,-298.05
12460,10171,27-07-2017,01-09-2017,07-12-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
12462,10172,17-05-2016,18-05-2016,09-08-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,91.77,800,NA,82.96000000000001,NA,974.73
12464,10173,01-08-2014,11-08-2014,20-08-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,534.3499999999999,NA,1,NA,NA,535.35
